Pair	Hypothesis	P-value
SUSPECT_RACE_DESCRIPTION-BLACK	Reject Null Hypothesis	0.0
SUSPECT_RACE_DESCRIPTION-OTHER	Reject Null Hypothesis	0.0
SUSPECT_RACE_DESCRIPTION-WHITE	Reject Null Hypothesis	0.0
STOP_LOCATION_ZIP_CODE-10000	Fail to Reject Null Hypothesis	0.7566376415060623
STOP_LOCATION_ZIP_CODE-10001	Fail to Reject Null Hypothesis	0.35437303269021697
STOP_LOCATION_ZIP_CODE-10002	Fail to Reject Null Hypothesis	0.037001503915158725
STOP_LOCATION_ZIP_CODE-10003	Fail to Reject Null Hypothesis	0.03720508880612179
STOP_LOCATION_ZIP_CODE-10004	Fail to Reject Null Hypothesis	0.877783938893591
STOP_LOCATION_ZIP_CODE-10005	Fail to Reject Null Hypothesis	0.15588057510612927
STOP_LOCATION_ZIP_CODE-10006	Fail to Reject Null Hypothesis	0.6729578837632416
STOP_LOCATION_ZIP_CODE-10007	Fail to Reject Null Hypothesis	0.9369254528258079
STOP_LOCATION_ZIP_CODE-10009	Reject Null Hypothesis	0.00020037254010057856
STOP_LOCATION_ZIP_CODE-10010	Fail to Reject Null Hypothesis	0.4138834922051181
STOP_LOCATION_ZIP_CODE-10011	Fail to Reject Null Hypothesis	0.7257829271703757
STOP_LOCATION_ZIP_CODE-10012	Fail to Reject Null Hypothesis	0.716546012371311
STOP_LOCATION_ZIP_CODE-10013	Fail to Reject Null Hypothesis	0.6117893227804577
STOP_LOCATION_ZIP_CODE-10014	Fail to Reject Null Hypothesis	0.8548467239910795
STOP_LOCATION_ZIP_CODE-10016	Fail to Reject Null Hypothesis	0.1509902459743107
STOP_LOCATION_ZIP_CODE-10017	Fail to Reject Null Hypothesis	0.20533802901961817
STOP_LOCATION_ZIP_CODE-10018	Fail to Reject Null Hypothesis	0.5752974244515272
STOP_LOCATION_ZIP_CODE-10019	Fail to Reject Null Hypothesis	0.4869860756548101
STOP_LOCATION_ZIP_CODE-10020	Fail to Reject Null Hypothesis	0.6729578837632416
STOP_LOCATION_ZIP_CODE-10021	Fail to Reject Null Hypothesis	0.745872140340587
STOP_LOCATION_ZIP_CODE-10022	Fail to Reject Null Hypothesis	0.021432460841748737
STOP_LOCATION_ZIP_CODE-10023	Fail to Reject Null Hypothesis	0.020550951742185384
STOP_LOCATION_ZIP_CODE-10024	Fail to Reject Null Hypothesis	0.6980788264926835
STOP_LOCATION_ZIP_CODE-10025	Fail to Reject Null Hypothesis	0.29773620686926694
STOP_LOCATION_ZIP_CODE-10026	Reject Null Hypothesis	7.90635057131478e-05
STOP_LOCATION_ZIP_CODE-10027	Fail to Reject Null Hypothesis	0.04938340204767574
STOP_LOCATION_ZIP_CODE-10028	Fail to Reject Null Hypothesis	0.3426404898329865
STOP_LOCATION_ZIP_CODE-10029	Fail to Reject Null Hypothesis	0.046254001825637686
STOP_LOCATION_ZIP_CODE-10030	Fail to Reject Null Hypothesis	0.016062901432826755
STOP_LOCATION_ZIP_CODE-10031	Fail to Reject Null Hypothesis	0.07784786168511026
STOP_LOCATION_ZIP_CODE-10032	Fail to Reject Null Hypothesis	0.032162538202818156
STOP_LOCATION_ZIP_CODE-10033	Fail to Reject Null Hypothesis	0.35328883274953066
STOP_LOCATION_ZIP_CODE-10034	Fail to Reject Null Hypothesis	0.39720168761073404
STOP_LOCATION_ZIP_CODE-10035	Fail to Reject Null Hypothesis	0.014291263772425483
STOP_LOCATION_ZIP_CODE-10036	Fail to Reject Null Hypothesis	0.8600622529144824
STOP_LOCATION_ZIP_CODE-10037	Fail to Reject Null Hypothesis	0.03047444856919327
STOP_LOCATION_ZIP_CODE-10038	Fail to Reject Null Hypothesis	0.1183282437768985
STOP_LOCATION_ZIP_CODE-10039	Fail to Reject Null Hypothesis	0.2663333153590834
STOP_LOCATION_ZIP_CODE-10040	Fail to Reject Null Hypothesis	0.34922892611922524
STOP_LOCATION_ZIP_CODE-10048	Fail to Reject Null Hypothesis	0.10442208449057705
STOP_LOCATION_ZIP_CODE-10065	Fail to Reject Null Hypothesis	0.10087644672658189
STOP_LOCATION_ZIP_CODE-10069	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_ZIP_CODE-10075	Fail to Reject Null Hypothesis	0.5914909289559351
STOP_LOCATION_ZIP_CODE-10128	Fail to Reject Null Hypothesis	0.22836116445582183
STOP_LOCATION_ZIP_CODE-10168	Fail to Reject Null Hypothesis	0.3231922936706571
STOP_LOCATION_ZIP_CODE-10301	Fail to Reject Null Hypothesis	0.9796079508521411
STOP_LOCATION_ZIP_CODE-10302	Fail to Reject Null Hypothesis	0.5914230691544138
STOP_LOCATION_ZIP_CODE-10303	Fail to Reject Null Hypothesis	0.026314671971658342
STOP_LOCATION_ZIP_CODE-10304	Fail to Reject Null Hypothesis	0.36406042579614595
STOP_LOCATION_ZIP_CODE-10305	Fail to Reject Null Hypothesis	0.31810655064460674
STOP_LOCATION_ZIP_CODE-10306	Fail to Reject Null Hypothesis	0.0013708977927191113
STOP_LOCATION_ZIP_CODE-10307	Fail to Reject Null Hypothesis	0.03372826750416055
STOP_LOCATION_ZIP_CODE-10308	Fail to Reject Null Hypothesis	0.3400045434553301
STOP_LOCATION_ZIP_CODE-10309	Fail to Reject Null Hypothesis	0.003987870143642665
STOP_LOCATION_ZIP_CODE-10310	Fail to Reject Null Hypothesis	0.39371185475331866
STOP_LOCATION_ZIP_CODE-10312	Fail to Reject Null Hypothesis	0.02395167681291248
STOP_LOCATION_ZIP_CODE-10314	Fail to Reject Null Hypothesis	0.954704341497081
STOP_LOCATION_ZIP_CODE-10451	Fail to Reject Null Hypothesis	0.18240589877442195
STOP_LOCATION_ZIP_CODE-10452	Fail to Reject Null Hypothesis	0.9189408364598787
STOP_LOCATION_ZIP_CODE-10453	Fail to Reject Null Hypothesis	0.1879302096900719
STOP_LOCATION_ZIP_CODE-10454	Fail to Reject Null Hypothesis	0.20586047718261702
STOP_LOCATION_ZIP_CODE-10455	Fail to Reject Null Hypothesis	0.266987984366446
STOP_LOCATION_ZIP_CODE-10456	Fail to Reject Null Hypothesis	0.002645918304937173
