,STOP_ID,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,RECORD_STATUS_CODE,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_CODE,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME,IMMEDIATE_STOP_FLAG,STOP_FRISK_TIME_HOUR,KMEANS_DEMEANOR,TIME_NUM,SUSPECT_REPORTED_AGE_CUT
0,1966,2020-02-27,22:50:00,2020,February,Thursday,Based on Self Initiated,APP,POM,807,SGT,807,ROBBERY,5,Y,N,N,not arrested,Y,N,N,S,V,Y,N,empty,empty,N,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,SA,"ARGUMENTATIVE, AGGRESSIVE, COMBATIVE",21,MALE,BLACK,6.0,170,THN,BROWN,BLK,empty,40,520 E 144 ST,E 144 ST,1007418,234886,10454,PBBX,BRONX,N,22,0,22.833333333333332,"[20, 30)"
1,6248,2020-08-04,08:41:00,2020,August,Tuesday,Based on Radio Run,APP,POF,863,SGT,863,CPW,8,Y,N,N,not arrested,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,CM,IN A HURRY,44,MALE,BLACK,5.9,215,HEA,BROWN,BLK,empty,13,E 14 ST && UNION SQ E,E 14 ST,987034,206937,unknown,PBMS,MANHATTAN,Y,8,0,8.683333333333334,"[40, 50)"
2,7302,2020-09-28,11:23:00,2020,September,Monday,Based on C/W on Scene,APP,OTHER,104,SGT,104,PETIT LARCENY,11,Y,N,Y,PETIT LARCENY,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,CM,CALM,31,MALE,WHITE,5.8,180,MED,OTHER,BRO,BLACK HOODIE BLUE JEANS BLACK,104,FOREST AVE && SUMMERFIELD ST,FOREST AVE,1012514,194041,11385,PBQN,QUEENS,Y,11,1,11.383333333333333,"[30, 40)"
3,1310,2020-02-05,09:45:00,2020,February,Wednesday,Based on Radio Run,APP,POM,121,SGT,121,BURGLARY,5,Y,Y,N,not arrested,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,Y,CM,QUIZZICAL,19,MALE,WHITE,5.7,150,THN,BROWN,BRO,empty,121,11 RILEY PL,RILEY PL,945306,168366,10302,PBSI,STATEN ISLAND,Y,9,0,9.75,"[10, 20)"
4,3959,2020-04-29,02:45:00,2020,April,Wednesday,Based on Self Initiated,APP,POM,72,LT,72,UNAUTHORIZED USE OF A VEHICLE,10,Y,N,Y,OTHER,N,Y,N,N,N,N,Y,N,empty,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,SA,ANNOYED,24,MALE,BLACK,5.8,190,THN,BLACK,BLK,PURPLE BACKPACK GRAY FACE MAS,72,6002 3 AVE,3 AVE,978428,173195,11220,PBBS,BROOKLYN,Y,2,0,2.75,"[20, 30)"
5,2054,2020-02-22,00:23:00,2020,February,Saturday,Based on Radio Run,APP,POM,62,SGT,62,BURGLARY,10,Y,Y,N,not arrested,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,CM,NERVOUS,19,MALE,BLACK,5.6,130,MED,BROWN,BLK,empty,62,1515 W 7 ST,W 7 ST,989533,161555,11204,PBBS,BROOKLYN,Y,0,2,0.38333333333333336,"[10, 20)"
6,3364,2020-03-30,19:01:00,2020,March,Monday,Based on Self Initiated,APP,POM,42,SGT,42,CPW,1,Y,N,Y,CPW,N,N,N,N,V,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,CM,OUT OF BREATH,23,MALE,BLACK,5.8,150,MED,BROWN,BLK,ARM -TATTOO WITH WORDS AND PI,42,E 167 ST && 3 AVE,E 167 ST,1010106,241483,10456,PBBX,BRONX,Y,19,0,19.016666666666666,"[20, 30)"
7,676,2020-01-24,13:54:00,2020,January,Friday,Based on Self Initiated,APP,POM,78,LT,78,CPSP,14,Y,N,Y,CPSP,N,N,N,S,V,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,SA,NERVOUS,57,MALE,BLACK,5.8,210,MED,BROWN,BLK,empty,78,93 ST JOHNS PL,ST JOHNS PL,990872,186062,11217,PBBS,BROOKLYN,Y,13,2,13.9,"[50, 60)"
8,1376,2020-02-12,01:49:00,2020,February,Wednesday,Based on Radio Run,APP,POM,106,SGT,106,CPW,7,Y,N,N,not arrested,N,Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,CM,"HOSTILE, AGGITATED",22,MALE,BLACK,5.533333333333334,153,THN,BLACK,BLK,empty,106,134-09 ROCKAWAY BLVD,ROCKAWAY BLVD,1038665,185158,11420,PBQS,QUEENS,Y,1,0,1.8166666666666667,"[20, 30)"
9,5692,2020-06-06,15:20:00,2020,June,Saturday,Based on Radio Run,APP,POM,67,SGT,67,BURGLARY,10,Y,N,N,not arrested,N,Y,N,N,N,N,N,N,empty,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,SA,CALM,29,MALE,BLACK,5.1,180,MED,BROWN,BLK,empty,67,146 ERASMUS ST,ERASMUS ST,997880,175939,11226,PBBS,BROOKLYN,Y,15,1,15.333333333333334,"[20, 30)"
