,STOP_WAS_INITIATED,STOP_DURATION_MINUTES,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,FRISKED_FLAG,SEARCHED_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_BORO_NAME,IMMEDIATE_STOP_FLAG,STOP_FRISK_TIME_HOUR,KMEANS_DEMEANOR
0,Based on Self Initiated,5,N,not arrested,Y,N,Y,21,MALE,BLACK,6.0,170,THN,BROWN,BLK,BRONX,N,22,0
1,Based on Radio Run,8,N,not arrested,Y,Y,Y,44,MALE,BLACK,5.9,215,HEA,BROWN,BLK,MANHATTAN,Y,8,0
2,Based on C/W on Scene,11,Y,PETIT LARCENY,Y,Y,N,31,MALE,WHITE,5.8,180,MED,OTHER,BRO,QUEENS,Y,11,1
3,Based on Radio Run,5,N,not arrested,Y,Y,Y,19,MALE,WHITE,5.7,150,THN,BROWN,BRO,STATEN ISLAND,Y,9,0
4,Based on Self Initiated,10,Y,OTHER,N,Y,N,24,MALE,BLACK,5.8,190,THN,BLACK,BLK,BROOKLYN,Y,2,0
5,Based on Radio Run,10,N,not arrested,N,N,N,19,MALE,BLACK,5.6,130,MED,BROWN,BLK,BROOKLYN,Y,0,2
6,Based on Self Initiated,1,Y,CPW,Y,Y,N,23,MALE,BLACK,5.8,150,MED,BROWN,BLK,BRONX,Y,19,0
7,Based on Self Initiated,14,Y,CPSP,N,Y,N,57,MALE,BLACK,5.8,210,MED,BROWN,BLK,BROOKLYN,Y,13,2
8,Based on Radio Run,7,N,not arrested,Y,N,Y,22,MALE,BLACK,5.533333333333334,153,THN,BLACK,BLK,QUEENS,Y,1,0
9,Based on Radio Run,10,N,not arrested,N,N,N,29,MALE,BLACK,5.1,180,MED,BROWN,BLK,BROOKLYN,Y,15,1
10,Based on Radio Run,5,N,not arrested,N,N,N,32,MALE,BLACK,5.1,190,MED,BLACK,BLK,MANHATTAN,Y,21,3
11,Based on Self Initiated,2,Y,CRIMINAL MISCHIEF,Y,Y,N,43,MALE,BLACK,5.8,146,THN,BROWN,BLD,MANHATTAN,Y,10,7
12,Based on Radio Run,25,Y,MAKING GRAFFITI,N,Y,N,25,MALE,WHITE,5.9,200,MED,BROWN,BRO,QUEENS,N,15,5
13,Based on Radio Run,15,N,not arrested,Y,N,Y,18,FEMALE,BLACK,5.4,165,MED,BROWN,BLK,BROOKLYN,Y,15,2
14,Based on Radio Run,3,Y,CPW,Y,Y,Y,44,MALE,BLACK,5.1,165,THN,BROWN,BLK,QUEENS,Y,18,2
15,Based on Radio Run,20,Y,GRAND LARCENY,N,Y,N,17,MALE,BLACK,5.8,130,THN,BROWN,BLK,MANHATTAN,Y,13,3
16,Based on Radio Run,27,Y,ASSAULT,N,Y,Y,21,MALE,OTHER,5.4,120,THN,BROWN,BLK,MANHATTAN,Y,5,1
17,Based on Radio Run,24,Y,ROBBERY,Y,N,Y,25,MALE,WHITE,5.2,140,THN,BROWN,BLK,QUEENS,Y,20,9
18,Based on Radio Run,10,Y,OTHER,N,Y,N,22,MALE,WHITE,5.7,170,MED,BROWN,BRO,BRONX,N,18,4
19,Based on Radio Run,2,Y,CPW,N,Y,N,26,MALE,BLACK,5.11,150,THN,BROWN,BLK,BROOKLYN,N,22,4
20,Based on Radio Run,15,N,not arrested,Y,N,Y,21,MALE,BLACK,5.9,170,THN,BROWN,BLK,BRONX,Y,4,2
21,Based on Radio Run,5,N,not arrested,Y,N,Y,52,MALE,BLACK,5.6,150,HEA,BROWN,BLD,BROOKLYN,Y,22,8
22,Based on Radio Run,3,N,not arrested,Y,N,Y,20,MALE,WHITE,5.1,160,MED,BROWN,BLK,BROOKLYN,Y,17,3
23,Based on C/W on Scene,41,N,not arrested,N,N,N,44,MALE,WHITE,5.5,150,MED,BROWN,BRO,BROOKLYN,Y,13,1
24,Based on C/W on Scene,41,N,not arrested,N,N,N,22,MALE,BLACK,6.2,200,THN,BROWN,BLK,BROOKLYN,Y,12,4
