,STOP_DURATION_MINUTES,SUSPECT_REPORTED_AGE,SUSPECT_HEIGHT,SUSPECT_WEIGHT,STOP_FRISK_TIME_HOUR,KMEANS_DEMEANOR,0,1,2,3,4,5,6,7,8,9,SUSPECT_RACE_DESCRIPTION
6584,30,21,6,163,16,4,-0.11468108670951395,0.8913447495639314,1.0598836618370993,-0.5718645920954971,-0.024886391222862,-0.057004170017072454,-0.13295725158731897,0.39215441444753796,0.21503385181313858,0.10817398783719907,BLACK
2886,9,57,6,200,5,1,1.0600819722145483,0.27266041097608407,0.5977550710634961,-0.5449157405826227,0.33032637181312413,0.2456554781519766,-0.022271093647912736,-0.0024330980640951895,0.006528515515784888,-0.12063091936887313,BLACK
1240,5,26,6,190,13,1,0.302611129589588,-0.7873937638943928,1.0680638724315379,0.11256651510286807,1.030579917865282,0.3572923133422221,0.13834847673574915,-0.49947230929155884,0.5054834217295491,-0.5395339918067297,WHITE
3110,9,30,5,180,9,5,-0.3077217104224438,0.6549964777732803,-0.25387073149007605,0.14087330888975239,0.12942972004046957,-0.2531097617428889,-0.1873040565126681,-0.07630007695429028,0.1857570422768764,0.10983941028663138,BLACK
3699,0,20,6,120,21,0,0.3999261597993686,-0.13074428369380348,-0.3490000737405993,0.014196505275987642,-0.3375452480960796,-0.33081940816760474,-0.1994619376931479,0.11020619815136708,-0.3442683065122583,0.4049584823906589,BLACK
2388,1,18,6,150,22,0,0.06810507608561846,0.2205577332108212,-0.4780583926180126,-0.18937989651146622,0.5897296918601302,-0.03162787367708935,-0.012417531944157342,0.13231240732736782,-0.17458635402931771,-0.2323536672900653,BLACK
6374,5,21,6,160,0,0,0.38617377537517356,-0.27005131374803126,-0.4294722918080455,0.287184169270406,0.46150263197701086,0.06849865120034995,-0.22120099043819458,0.02065177794840997,0.013085027954216835,0.33165447519396907,BLACK
2514,30,17,6,150,16,1,-0.4627612622575127,-0.2378577723921948,0.07414373592219263,-0.05468632859843572,0.07233777247310634,-0.03586274679094386,-0.11707041058285324,0.25374825610633095,-0.22907356059576103,-0.3240898261006303,WHITE
2795,5,15,6,180,14,5,-0.5843364898416522,0.40411548264981245,-0.08715115100909641,-0.1579485997849451,-0.14575805153398938,-0.3302506435045212,-0.2757322491258629,-0.20651158873848968,0.766060409899483,-0.17308682228505792,BLACK
4774,6,20,6,165,1,6,0.36986866690980424,-0.057421127628893315,-0.5250008565953103,-0.23847177227152005,0.5058277864186055,-0.051567617244984286,-0.037957618567472665,0.19751514970789405,-0.16465380299285595,-0.24893068161718673,OTHER
4460,10,16,6,140,15,0,0.4147458015595617,0.05349163756305116,0.3336394948745456,-0.17134108711877813,-0.013873406634033813,-0.021474305859539754,-0.28741605961873085,0.5021446301338383,-0.08631942972797212,-0.3571412124725019,WHITE
5467,6,20,6,140,14,2,-0.04399470186732272,-0.8826237330844442,0.6994394833853315,0.8358220610495787,0.9443923579663972,0.1723966753592163,0.24364503949918473,-0.15964582212177855,0.7011907322337905,-0.16359284696366885,WHITE
4403,20,54,6,145,22,1,-0.38763688118728623,6.728541873828233e-05,0.6384814842075703,1.1384967929381256,0.9925315712430043,0.2325953572419898,0.23627917897756845,-0.344077176128556,0.727239377059579,-0.05532684703494835,WHITE
2027,30,37,6,110,13,0,-0.07418017914169778,-0.1254537858664697,0.04710445987329948,0.2704835670765793,0.3650407482202953,-0.16598184691460202,0.10385495276221188,-0.03100735561344078,-0.5469179073392872,0.44453935091740654,WHITE
6227,5,21,6,160,20,3,-0.5070996831883886,0.22445846488116092,-0.10059402498853355,0.10058354393799308,-0.692139203325128,0.12209759137252894,-0.10841212665388716,0.12638742448637888,0.48963390141727425,-0.26811974010931977,WHITE
