STOP_ID,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,RECORD_STATUS_CODE,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_OFFENSE_DESCRIPTION,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_CODE,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_APARTMENT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME
1966,2020-02-27,22:50:00,2020,February,Thursday,Based on Self Initiated,APP,POM,807,SGT,807,O,H,Housin,3,ROBBERY,5,Y,(null),N,N,(null),Y,DISORD,N,(null),S,V,Y,N,(,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),Y,(,(null),(null),(null),(null),(null),(null),SA,"ARGUMENTATIVE, AGGRESSIVE, COMBATIVE",21,MALE,BLACK HISPANIC,6,170,THN,BRO,BLK,,40,A,(null),520 E 144 ST,E 144 ST,1007418,234886,10454,PBBX,BRONX
6248,2020-08-04,08:41:00,2020,August,Tuesday,Based on Radio Run,APP,POF,863,SGT,863,S,T,Transi,1,CPW,8,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(,(null),(null),(null),(null),(null),Y,CM,IN A HURRY,44,MALE,BLACK,5.9,215,HEA,BRO,BLK,,13,B,(null),E 14 ST && UNION SQ E,E 14 ST,987034,206937,(null),PBMS,MANHATTAN
7302,2020-09-28,11:23:00,2020,September,Monday,Based on C/W on Scene,APP,DTS,104,SGT,104,O,(null),(null),1,PETIT LARCENY,11,Y,(null),N,Y,PETIT LARCENY,N,(null),Y,(null),(null),(null),Y,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),CM,CALM,31,MALE,WHITE,5.8,180,MED,BLU,BRO,BLACK HOODIE BLUE JEANS BLACK,104,B,(null),FOREST AVE && SUMMERFIELD ST,FOREST AVE,1012514,194041,11385,PBQN,QUEENS
1310,2020-02-05,09:45:00,2020,February,Wednesday,Based on Radio Run,APP,POM,121,SGT,121,(null),(null),(null),1,BURGLARY,5,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,Y,N,N,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),Y,(null),(null),Y,CM,QUIZZICAL,19,MALE,WHITE HISPANIC,5.7,150,THN,BRO,BRO,(null),121,B,(null),11 RILEY PL,RILEY PL,945306,168366,10302,PBSI,STATEN ISLAND
3959,2020-04-29,02:45:00,2020,April,Wednesday,Based on Self Initiated,APP,POM,72,LT,72,O,(null),(null),1,UNAUTHORIZED USE OF A VEHICLE,10,Y,(null),N,Y,OTHER,N,(null),Y,(null),(null),(null),N,Y,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(,(null),(null),(null),Y,(null),(null),SA,ANNOYED,24,MALE,BLACK HISPANIC,5.8,190,THN,BLK,BLK,PURPLE BACKPACK GRAY FACE MAS,72,B,(null),6002 3 AVE,3 AVE,978428,173195,11220,PBBS,BROOKLYN
2054,2020-02-22,00:23:00,2020,February,Saturday,Based on Radio Run,APP,POM,62,SGT,62,O,(null),(null),1,BURGLARY,10,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,NERVOUS,19,MALE,BLACK HISPANIC,5.6,130,MED,BRO,BLK,(null),62,B,(null),1515 W 7 ST,W 7 ST,989533,161555,11204,PBBS,BROOKLYN
3364,2020-03-30,19:01:00,2020,March,Monday,Based on Self Initiated,APP,POM,42,SGT,42,O,(null),(null),1,CPW,1,Y,(null),N,Y,CPW,N,(null),N,(null),(null),V,Y,Y,N,N,N,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(,(null),(null),(null),Y,(null),(null),CM,OUT OF BREATH,23,MALE,BLACK HISPANIC,5.8,150,MED,BRO,BLK,ARM -TATTOO WITH WORDS AND PI,42,C,(null),E 167 ST && 3 AVE,E 167 ST,1010106,241483,10456,PBBX,BRONX
676,2020-01-24,13:54:00,2020,January,Friday,Based on Self Initiated,APP,POM,78,LT,78,O,(null),(null),1,CPSP,14,Y,(null),N,Y,CPSP,N,(null),N,(null),S,V,N,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(,(null),(null),(null),Y,(null),(null),SA,NERVOUS,57,MALE,BLACK,5.8,210,MED,BRO,BLK,(null),78,C,(null),93 ST JOHNS PL,ST JOHNS PL,990872,186062,11217,PBBS,BROOKLYN
1376,2020-02-12,01:49:00,2020,February,Wednesday,Based on Radio Run,APP,POM,106,SGT,106,(null),(null),(null),1,CPW,7,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,"HOSTILE, AGGITATED", ,MALE,BLACK, , ,THN,BLK,BLK,(null),106,D,(null),134-09 ROCKAWAY BLVD,ROCKAWAY BLVD,1038665,185158,11420,PBQS,QUEENS
5692,2020-06-06,15:20:00,2020,June,Saturday,Based on Radio Run,APP,POM,67,SGT,67,I,(null),(null),1,BURGLARY,10,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,N,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),SA,CALM, ,MALE,BLACK,5.1,180,MED,BRO,BLK,(null),67,A,(null),146 ERASMUS ST,ERASMUS ST,997880,175939,11226,PBBS,BROOKLYN
